ANO_FOLHA;MES_FOLHA;MATRICULA;UnidadeGestora;UNIDADE_GESTORA_CODIGO;REMUNERACAO_TOTAL;CARGO;LOTACAO
2017;1;000000000000000;P. M. DE BENEDITINOS;201026;62.47;AGENTE ADMINISTRATIVO -N. III;SECRETµRIA MUNICICPAL.DE ADMINISTRACAO
2017;1;000000000000001;CAMARA DE CANTO DO BURITI;101049;1874;TESOUREIRO;FOLHA DE PESSOAL COMISSIONADO
2017;1;000000000000001;P. M. DE FLORES DO PIAUI;201081;1030.21;SECRETARIA DE ESCOLA;FUNDEB 40%
2017;1;000000000000001;CAMARA DE SAO GONCALO DO PIAUI;101188;3800;VEREADOR;VEREADORES
2017;1;000000000000001;P. M. DE SIMOES;201209;1303.26;VIGIA - CLASSE A - NIVEL IV;SEC. ADMINISTRACAO -INTERNOS
2017;1;000000000000001;P. M. DE VARZEA BRANCA;201219;1537.9;AGENTE DE ENDEMIAS;AGENTE DE ENDEMIAS EFETIVOS
2017;1;000000000000001;P. M. DE RIACHO FRIO;201170;8500;PREFEITO MUNICIPAL;GABINETE DO PREFEITO
2017;1;000000000000001;CAMARA DE ITAUEIRA;101099;6000;VEREADOR;C∂MARA MUNICIPAL DE ITAUEIRA
2017;1;000000000000001;P. M. DE RIBEIRO GONCALVES;201172;6325.9;AUXILIAR ADMINISTRATIVO III;DEPTß ADIMINISTRAÄ«O FINANCEIRA COMOSSIONADOS
2017;1;000000000000001;P. M. DE JARDIM DO MULATO;201102;1302.8;AGENTE COMUNITµRIO DE SAÈDE;AGENTES COMUNITµRIOS DE SAÈDE - ACS
2017;1;000000000000001;CAMARA DE SANTO ANTONIO DOS MILAGRES;101181;3833.33;VEREADOR -PRESIDENTE;VEREADORES CAMARA MUNICIPAL DE STO ANTONIO DOS MIL
2017;1;000000000000001;P. M. DE PASSAGEM FRANCA DO PIAUI;201152;5707.23;PROF CL C N IV 40H;FUNDEB 60%
2017;1;000000000000002;P. M. DE BAIXA GRANDE DO RIBEIRO;201018;1442.84;AUXILIAR ADMINISTRATIVO;SEC. ASSISTENCIA SOCIAL
